date,asset,content,favourites_count,reblogs_count,num_comments,source
2024-11-01,GLOBAL,"On Tuesday, November 5th—YOU have to tell Kamala you’ve had enough…",12631,3033,438,truth_social
2024-11-01,GLOBAL,"DREAM BIG, MICHIGAN!!! https://swampthevoteusa.com/",12808,3017,373,truth_social
2024-11-01,GLOBAL,"THANK YOU, ROBERT F. KENNEDY JR! https://swampthevoteusa.com/",10007,2691,246,truth_social
2024-11-01,GLOBAL,"Robert Kennedy Jr: “When you go into that voting booth, you’re going to see my name on the ballot. I DO NOT want you to VOTE for me—If you wanna see me go to Washington, you better VOTE for Donald Trump!”",10864,3558,350,truth_social
2024-11-01,GLOBAL,"We’re in a depression—VOTE TRUMP, because I’m going to get you out of it!",8938,2406,402,truth_social
2024-11-01,GLOBAL,"Kamala’s closing message to America is that she hates you—My closing message is that I love America! I am asking for your vote, but I want you to know that whether you vote for me or not, when I win, I will fight for you with every breath in my body! https://swampthevoteusa.com/",12137,3498,828,truth_social
2024-11-01,GLOBAL,"MICHIGAN—When we win, you are 4 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen. GET OUT AND VOTE!! https://swampthevoteusa.com/",8913,2391,257,truth_social
2024-11-01,GLOBAL,"America will be bigger, better, bolder, richer, safer, and stronger than ever before! I am asking you to be excited about the FUTURE of your COUNTRY. We are down to 4 days! I am asking you to DREAM BIG AGAIN…",9532,2556,347,truth_social
2024-11-01,GLOBAL,KAMALA BROKE IT—I WILL FIX IT! https://swampthevoteusa.com/,9442,2352,353,truth_social
2024-11-01,GLOBAL,"Everything we have been fighting for these past four years comes down to the next four days. We’ve been setting records in the early voting, but we can’t let up—in-person early voting in Michigan ends on SUNDAY. It’s NOW or NEVER. Get everyone you know, and VOTE, VOTE, VOTE. With your help, we are going to defeat Kamala Harris, and we are going to MAKE AMERICA GREAT AGAIN! https://swampthevoteusa.com/11/1/24 | WARREN, MICHIGAN",15604,4224,952,truth_social
2024-11-01,GLOBAL,RT @NewsMaxCOMING UP: President Donald Trump speaks to supporters in the crucial swing state of Michigan. Watch the live rally coverage on NEWSMAX and NEWSMAX2. https://youtube.com/live/gwUENQamavo?feature=share,0,0,0,truth_social
2024-11-01,GLOBAL,I will and Kamala’s insane ELECTRIC VEHICLE MANDATE—Saving the MICHIGAN Auto Industry! https://swampthevoteusa.com/,8483,2199,382,truth_social
2024-11-01,GLOBAL,"RT @realamericasvoiceARAB AMERICANS BEHIND PRESIDENT TRUMP IN DEARBORN, MI. A plaque being presented to President @realDonaldTrump as Arab Americans look forward to the peace we will have under his presidency.",0,0,0,truth_social
2024-11-01,GLOBAL,"TOGETHER—WE WILL FIGHT, FIGHT, FIGHT—and we will WIN, WIN, WIN! https://swampthevoteusa.com/",17099,4521,1208,truth_social
2024-11-01,GLOBAL,"Join me LIVE in Warren, Michigan at 4:30pmEDT. Will be on @RSBN, @OAN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble. See you soon—MAGA2024!!! https://rumble.com/v5l7iiq-live-president-trump-in-warren-mi.html",7205,1988,436,truth_social
2024-11-01,GLOBAL,"RT @RSBNHAPPENING NOW: President Trump on the road with RFK, Jr. in Dearborn, MichiganWATCH LIVE: https://www.rsbnetwork.com/video/live-president-trump-delivers-remarks-at-a-rally-in-warren-mi-11-1-24/",0,0,0,truth_social
2024-11-01,GLOBAL,"Just days ago, a young USMC veteran named Nicholas Quets from Arizona was driving through Mexico for a beach weekend with his friends when he was viciously gunned down on the highway and murdered by members of a Mexican Cartel. His family joined me this evening in Henderson, Nevada…",15008,4626,933,truth_social
2024-11-01,GLOBAL,"GET OUT AND VOTE, NEVADA!!!NEVADA VOTING INFORMATION HERE: https://vote.donaldjtrump.com/nv/",16044,4059,929,truth_social
2024-11-01,GLOBAL,"It was hardworking Patriots like you who built this Country, and 5 days from now, it is hardworking Patriots like you who are going to SAVE our Country! THANK YOU, NEVADA! https://vote.donaldjtrump.com/nv/",18086,4390,939,truth_social
2024-11-01,GLOBAL,"A GREAT DAY IN NEW MEXICO, NEVADA, AND ARIZONA—THANK YOU! With your VOTE this November, we are going to Fire Kamala, and we are going to SAVE AMERICA! https://www.DonaldJTrump.com",18862,4798,986,truth_social
2024-11-01,GLOBAL,"“The Trump Economic Miracle,” a new book by the brilliant Steve Moore, tells you in great detail what we have done, and where we are going. If you are interested in MAKING AMERICA GREAT AGAIN, this great new book is a MUST READ. Enjoy! Donald J. Trump",15247,3554,757,truth_social
2024-11-01,GLOBAL,"Kamala has spent the final week of her failing campaign comparing her political opponents to the most evil mass murderers in history. Two days ago, Joe Biden called our supporters garbage…You can’t LEAD America if you don’t LOVE Americans! https://swampthevoteusa.com/",14234,3965,825,truth_social
2024-11-01,GLOBAL,https://nypost.com/2024/11/01/us-news/election-guru-nate-silver-accuses-pollsters-of-putting-finger-on-the-scale-lying-to-keep-presidential-race-close/,6957,2250,366,truth_social
2024-11-01,GLOBAL,Wishing everyone a Blessed and Happy All Saints’ Day!,13533,3937,869,truth_social
2024-11-01,GLOBAL,"Mark Cuban, a total loser, is being decimated by women all over the Country, especially since they know and admire the many GREAT women that work for, and with, me. They are very “INTELLIGENT” and, likewise, very “STRONG.” Cuban has been hit so hard that he was forced to issue an apology, but his apology is worthless. I’ve known him a long time. He’s a bad guy, with major character flaws. He’s also very weak and insecure, and will do and say anything for publicity. He was a staunch supporter of Crooked Hillary Clinton during her failed Campaign for President, and is now a supporter of Lyin’ Kamala Harris, but that’s only because I don’t take his many phone calls anymore - Just don’t have the time or inclination to do so. He can never recover from the horrible statement he made yesterday about a woman’s strength and intelligence, but he is going to have to try, because what he said was totally unacceptable!",11382,3471,704,truth_social
2024-11-01,GLOBAL,"All I’m saying about Liz Cheney is that she is a War Hawk, and a dumb one at that, but she wouldn’t have “the guts” to fight herself. It’s easy for her to talk, sitting far from where the death scenes take place, but put a gun in her hand, and let her go fight, and she’ll say, “No thanks!” Her father decimated the Middle East, and other places, and got rich by doing so. He’s caused plenty of DEATH, and probably never even gave it a thought. That’s not what we want running our Country!",12781,4091,1197,truth_social
2024-11-01,GLOBAL,"Today’s jobs report is a great embarrassment for our Nation. Kamala has lied for years about their pathetic job growth, which has never been real. Kamala killed 46,000 manufacturing jobs, while 773,000 Americans have lost employment in just the last year—all while their jobs have been taken by foreign-born workers. America is a Nation in Decline because Sleepy Joe, and Lyin’ Kamala, didn’t do their job. “TRUMP” WILL FIX IT! MAKE AMERICA GREAT AGAIN! GO VOTE!",12722,4210,966,truth_social
2024-11-01,GLOBAL,"“MELANIA,” the new book just out by our great former First Lady, is again The New York Times NUMBER ONE BEST SELLER. WOW, what a great achievement! The book is fantastic. We are all very proud of my beautiful Melania!!!",22085,4723,1628,truth_social
2024-11-02,GLOBAL,"Landing in North Carolina now! Join me live in Gastonia at 12:15pmEDT. Will be on @RSBN, @realAmericasVoice, @OAN, @NewsMax, and Donald J. Trump @Rumble, among others. MAGA2024!!! https://rumble.com/v5lbb0h-live-president-trump-in-gastonia-nc.html",10132,2390,582,truth_social
2024-11-02,GLOBAL,MY PROMISES TO AMERICA!,13417,4516,1202,truth_social
2024-11-02,GLOBAL,"THANK YOU, NORTH CAROLINA! https://swampthevoteusa.com/",11042,2710,405,truth_social
2024-11-02,GLOBAL,"The United States is now an OCCUPIED COUNTRY, but it will soon be an occupied country no longer. November 5th, 2024 will be LIBERATION DAY in America! https://swampthevoteusa.com/",12574,3542,691,truth_social
2024-11-02,GLOBAL,"WHEN WE GET KNOCKED DOWN, WE DON’T STAY DOWN—WE GET UP AGAIN.WE FIGHT!WE FIGHT!!WE FIGHT!!!https://swampthevoteusa.com/",18130,5808,1602,truth_social
2024-11-02,GLOBAL,"Join me LIVE in Salem, Virginia at 5:15pmEDT. Will be on @RSBN, @NewsMax, @realAmericasVoice, and Donald J. Trump @Rumble, among others. See you soon—MAGA2024!!! https://rumble.com/v5lfuhw-live-president-trump-in-salem-va.html",8769,2135,865,truth_social
2024-11-02,GLOBAL,"THANK YOU—SALEM, VIRGINIA! https://swampthevoteusa.com/",15456,3531,653,truth_social
2024-11-02,GLOBAL,"11/2/24 | SALEM, VIRGINIA",16347,3938,984,truth_social
2024-11-02,GLOBAL,OCTOBER JOBS REPORT—THE HARRIS-BIDEN ADMINISTRATION HAS FAILED THE AMERICAN PEOPLE!,16879,5771,1873,truth_social
2024-11-02,GLOBAL,"Despite all the damage she has caused, Kamala has spent the final week of her campaign comparing her political opponents to the most evil mass murderers in history. Then, Joe Biden called our supporters “GARBAGE.” My response to Joe and Kamala is simple: you can’t LEAD America if you don’t LOVE Americans. And you can’t be president if you hate the American People. https://swampthevoteusa.com/",15731,4771,1161,truth_social
2024-11-02,GLOBAL,"A GREAT DAY IN MICHIGAN &amp; WISCONSIN, THANK YOU—MAGA2024! https://swampthevoteusa.com/",17803,4341,1021,truth_social
2024-11-02,GLOBAL,"On my way to North Carolina to speak to a crowd so large that it goes beyond the beautiful horizon, and this, after a huge Rally in Milwaukee, in the Great State of Wisconsin, last night, in front of over 30,000 American Patriots! Low Energy Democrat Candidate Lyin’ Kamala Harris, was also in Milwaukee yesterday, spending millions of Taxpayer Dollars on the trip, all to speak in front of only 900 people, and most of them were my supporters. They witnessed a person who is totally confused and tired. She is a Low IQ individual, not equipped to be President, and that’s why she can’t draw a crowd. We have people lining up for days, all over our soon to be magnificent Nation. Kamala is slumping to the finish line, yawning, shrieking, and cackling, while I am working 24/7 to win this Election, so we can save our Country and, Make America Great Again!",16268,4360,1397,truth_social
2024-11-02,GLOBAL,"THANK YOU—MILWAUKEE, WISCONSIN! https://swampthevoteusa.com/",14241,3156,442,truth_social
2024-11-02,GLOBAL,KAMALA BROKE IT—I WILL FIX IT!,15694,3678,833,truth_social
2024-11-02,GLOBAL,"Wishing everyone a joyous Diwali filled with warmth, light, and prosperity. May this festival bring happiness to your heart, and illuminate your wonderful path forward.",7740,1733,245,truth_social
2024-11-02,GLOBAL,"RT @realDonaldTrumpEverything we have been fighting for these past four years comes down to the next four days. We’ve been setting records in the early voting, but we can’t let up—in-person early voting in Michigan ends on SUNDAY. It’s NOW or NEVER. Get everyone you know, and VOTE, VOTE, VOTE. With your help, we are going to defeat Kamala Harris, and we are going to MAKE AMERICA GREAT AGAIN! https://swampthevoteusa.com/11/1/24 | WARREN, MICHIGAN",0,0,0,truth_social
2024-11-02,GLOBAL,"RT @realDonaldTrumpOn Tuesday, November 5th—YOU have to tell Kamala you’ve had enough…",0,0,0,truth_social
2024-11-02,GLOBAL,"RT @realDonaldTrumpDREAM BIG, MICHIGAN!!! https://swampthevoteusa.com/",0,0,0,truth_social
2024-11-02,GLOBAL,"Patrick Morrisey, of West Virginia, has been a wonderful Attorney General, and will now be an incredible Governor! He will fight tirelessly to Grow the Economy, Stop Inflation, Secure our Border, Restore American Energy DOMINANCE, Strengthen our Military/Vets, and Protect our always under siege Second Amendment. Patrick will work closely with me to enact our America First Agenda, and is a FANTASTIC person to replace my friend and future U.S. Senator, Jim Justice. Patrick Morrisey is my friend, and has my Complete and Total Endorsement - HE WILL NOT LET YOU DOWN!",8389,2017,229,truth_social
2024-11-02,GLOBAL,"JOIN ME LIVE IN MILWAUKEE, WISCONSIN AT 10pmEDT. Will be on @RSBN, @realAmericasVoice, @OAN, @NewsMax, and Donald J. Trump @Rumble, among others! https://rumble.com/v5l9amk-live-president-trump-in-milwaukee-wi.html",9787,2120,402,truth_social
2024-11-02,GLOBAL,"BIG RALLY IN MILWAUKEE— PACKED HOUSE, A GREAT SCENE! DJT",15963,3207,1028,truth_social
2024-11-02,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: I stand before you today as the only candidate who can rescue our economy from obliteration, and restore it to strength, prosperity, and greatness... the economy is now a disaster, and is expected to get substantially worse.",0,0,0,truth_social
2024-11-02,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: The day I take the oath of office, the migrant invasion ENDS, and the restoration of our country BEGINS...The United States is now an OCCUPIED COUNTRY, but it will soon be an occupied country no longer. November 5th, 2024 will be LIBERATION DAY in America.",0,0,0,truth_social
2024-11-02,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: ""If she can't handle an interview, then she can't handle certainly President Xi of China... She will get overwhelmed, melt down, and millions of people will die. This is not a charity event— this is an election for the biggest and toughest job in human history.""",0,0,0,truth_social
2024-11-02,GLOBAL,"RT @realDonaldTrumpTOGETHER—WE WILL FIGHT, FIGHT, FIGHT—and we will WIN, WIN, WIN! https://swampthevoteusa.com/",0,0,0,truth_social
2024-11-03,GLOBAL,"Join me LIVE in Kinston, North Carolina at 3:30pmEDT. Will be on @NewsMax, @realAmericasVoice, @RSBN, and Donald J. Trump @Rumble, among others. See you soon—MAGA2024!!! https://rumble.com/v5lny2z-live-president-trump-in-kinston-nc.html",9870,2308,946,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: IN CONCLUSION, with your vote on Tuesday, we are going to fire Kamala, and we are going to SAVE AMERICA.We will cut your taxes, end inflation, slash your prices, raise your wages, and bring thousands of factories back to America, and back to PENNSYLVANIA.",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: After years of building up foreign nations, defending foreign borders, and protecting foreign lands, we are finally going to build up OUR country, defend our borders, and protect OUR citizens. And we will stop illegal immigration once and for all.",0,0,0,truth_social
2024-11-03,GLOBAL,"THANK YOU, PENNSYLVANIA! Everything we have been fighting so hard to achieve for the past 9 years all comes down to the next two days. It’s NOW or NEVER. This moment will not come again. For the sake of your family, your Country, and your freedom, you have to GET OUT AND VOTE! https://swampthevoteusa.com/",15138,4032,753,truth_social
2024-11-03,GLOBAL,"I haven’t seen the Drudge Report for years, but everyone tells me it is doing really badly. Is it remaining open, or will they close it up?",10526,2413,690,truth_social
2024-11-03,GLOBAL,I LOVE TRUTH SOCIAL!,18923,4224,1663,truth_social
2024-11-03,GLOBAL,"Heading to Kinston, North Carolina. Big Crowd. Polls are looking GREAT. MAGA!!!",15382,3170,1141,truth_social
2024-11-03,GLOBAL,RT @TeamTrumpNO TAX ON TIPS.NO TAX ON OVERTIME.NO TAX ON SENIORS' SOCIAL SECURITY.VOTE TRUMP!,0,0,0,truth_social
2024-11-03,GLOBAL,"KAMALA BROKE IT, BUT I WILL FIX IT! With your VOTE, inflation will END. The border will be SAFE &amp; SECURE. We will have PEACE across the globe. WITH YOUR VOTE, AMERICA WILL ENTER A NEW GOLDEN AGE! Vote TRUMP to MAKE AMERICA GREAT AGAIN! https://swampthevoteusa.com/",13880,3510,688,truth_social
2024-11-03,GLOBAL,RT @TeamTrumpWe can’t afford 4 more years of Kamala Harris.#BringBackTrump,0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: ""Four years of Kamala have delivered nothing but economic HELL for American workers.""#BringBackTrump",0,0,0,truth_social
2024-11-03,GLOBAL,"NEBRASKA! In-person Early Voting ends tomorrow! Get out and vote—Together, we'll make this election #TooBigToRig! https://vote.donaldjtrump.com/ne-top-level/",9205,2536,195,truth_social
2024-11-03,GLOBAL,MONTANA! You have until tomorrow to vote in-person and request your absentee ballot. Let's #SwampTheVote! vote.donaldjtrump.com/mt,9426,2563,205,truth_social
2024-11-03,GLOBAL,CALIFORNIA! Early Voting ends tomorrow! Let's make this election #TooBigToRig https://vote.donaldjtrump.com/ca/,10328,2865,421,truth_social
2024-11-03,GLOBAL,"Just landed in Georgia! Join me live in Macon at 7:15pmEDT. Will be on @RSBN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble, among others. Will see you soon—TOGETHER, we are going to MAKE AMERICA GREAT AGAIN! https://rumble.com/v5lpl4t-live-president-trump-in-macon-ga.html",12287,2619,679,truth_social
2024-11-03,GLOBAL,https://www.DonaldJTrump.com,15183,4425,843,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: We are 2 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen...If my opponent knew how to fix the economy, she would've done it.",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: We will Make America Wealthy Again, and we will Make America AFFORDABLE again... We are 2 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen. #BringBackTrump",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: ""Kamala BROKE IT. We will FIX IT... The election is a choice between whether we will have four more years of incompetence and failure... or whether we will begin the four greatest years in the history of our country.""",0,0,0,truth_social
2024-11-03,GLOBAL,https://www.breitbart.com/clips/2009/10/05/pistachios-ad-featuring-bristol-palins-ex-levi-johnston-cracks-protection-joke/,5752,1467,192,truth_social
2024-11-03,GLOBAL,https://www.rsbnetwork.com/news/final-trump-rallies-before-election-announced/,9517,2494,542,truth_social
2024-11-03,GLOBAL,"Join me LIVE in Lititz, Pennsylvania at 10:30amEDT. Will be on @RSBN, @OAN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble. See you soon—MAGA2024!!! https://rumble.com/v5lj1uk-live-president-trump-in-lititz-pa.html",9378,2264,542,truth_social
2024-11-03,GLOBAL,OHIO! You have until tomorrow to vote early in-person! We need to make this election #TooBigToRig! https://vote.donaldjtrump.com/oh/,9253,2679,313,truth_social
2024-11-03,GLOBAL,"IF YOU HAVEN’T VOTED YET, PLEASE CLICK THE LINK BELOW TO MAKE YOUR PLAN. We can’t afford to take ANY chances—YOU MUST VOTE! Stand with me with your vote and with your voice. Together, WE WILL MAKE AMERICA GREAT AGAIN! https://swampthevoteusa.com/",9672,2785,454,truth_social
2024-11-03,GLOBAL,"RT @realDonaldTrumpTHANK YOU—SALEM, VIRGINIA! https://swampthevoteusa.com/",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpGov. Glenn Youngkin: ""We had the greatest economy in the world. Kamala Harris and Joe Biden broke it. Donald Trump will FIX IT. We had the most secure border in the history of America. Kamala Harris broke it. Donald Trump will FIX IT.""",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: All of the problem she's caused... can be solved—but now, the fate of our nation is in your hands...On Tuesday, you can just say, “Kamala... You’re Fired!”",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: ""As you know firsthand, Kamala’s hurricane response was a disgrace and a betrayal of her duty... Where the hell is Biden? Tell me, is this the worst administration in history??... Who is running the United States of America?""",0,0,0,truth_social
2024-11-03,GLOBAL,"RT @TeamTrumpPRESIDENT TRUMP: She’s putting up migrants in luxury hotels... while Americans who have lost their homes are living in tents... When I’m president, we are going to evict the illegals, and we will make sure every displaced citizen gets the housing... they need.",0,0,0,truth_social
2024-11-03,GLOBAL,"Three beautiful MAGA RALLIES today in Gastonia, North Carolina, followed by Salem, Virginia—and this evening in Greensboro, North Carolina! Every problem facing us can be solved—but now, the fate of our nation is in your hands. On Tuesday, you have to stand up, and you have to tell Kamala that you’ve had enough, you can’t take anymore, “Kamala Harris, You’re Fired!” GET OUT AND VOTE TRUMP EVERYONE, SO TOGETHER WE CAN MAKE AMERICA GREAT AGAIN!",15286,4318,1189,truth_social
2024-11-03,GLOBAL,"Join me LIVE in Greensboro, North Carolina for a MAGA RALLY at 9:15pmEDT. Will be on @NewsMax, @realAmericasVoice, @RSBN, and Donald J. Trump @Rumble, among others. See you soon—MAGA2024!!! https://rumble.com/v5lhn0e-live-president-trump-in-greensboro-nc.html",9303,2160,591,truth_social
2024-11-03,GLOBAL,"RT @realDonaldTrump11/2/24 | SALEM, VIRGINIA",0,0,0,truth_social
2024-11-03,GLOBAL,NEW YORK! In-person early voting ends tomorrow! Let's #SwampTheVote and make this election #TooBigToRig! https://vote.donaldjtrump.com/ny/,8687,2534,322,truth_social
2024-11-03,GLOBAL,https://www.breitbart.com/the-media/2024/11/02/exclusive-rasmussen-head-pollster-predicts-trump-landslide-likens-to-1980-reagan-carter-election-major-political-realignment/,12734,3409,602,truth_social
2024-11-03,GLOBAL,"If Kamala wins, you are 3 days away from the start of a 1929-style economic depression. If I win, you are 3 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen.Kamala’s inflation nightmare has cost the typical American family $30,000 dollars in higher prices—and now, she wants to impose the largest tax hike in American history, and raise your taxes by $3,000 dollars a year. I will massively cut taxes for workers and small businesses—and we will have NO TAX ON TIPS, NO TAX ON OVERTIME, and NO TAX ON SOCIAL SECURITY benefits!",18573,5571,1311,truth_social
2024-11-03,GLOBAL,"As we rescue our economy, I will also restore our borders. Over the past 4 years, Kamala has orchestrated the most egregious betrayal that any leader in American history has ever inflicted on our people. She has violated her oath, eradicated our sovereign border, and unleashed an army of gangs and criminal migrants from prisons and jails, insane asylums and mental institutions around the world, from Venezuela to the Congo—stealing countless American lives.",18335,4997,1192,truth_social
2024-11-03,GLOBAL,https://www.breitbart.com/clips/2024/11/01/pelosi-i-dont-know-why-anybody-would-vote-for-unpatriotic-trump/,9010,2962,2755,truth_social
2024-11-03,GLOBAL,"No President has done more for FARMERS, and the Great State of Iowa, than Donald J. Trump. In fact, it’s not even close! All polls, except for one heavily skewed toward the Democrats by a Trump hater who called it totally wrong the last time, have me up, BY A LOT. I LOVE THE FARMERS, AND THEY LOVE ME. THE JUST OUT EMERSON POLL HAS ME UP 10 POINTS IN IOWA. THANK YOU!",18506,5035,1725,truth_social
2024-11-03,GLOBAL,"FoxNews keeps putting on Democrat ads, as part of their news program. Their soundbites are almost all of Harris and her Democrat friends, all of whom are on the shows. FOX NEWS IS NOT OUR FRIEND. It’s crazy!",14917,4869,2368,truth_social
2024-11-03,GLOBAL,"RT: https://truthsocial.com/users/realDonaldTrump/statuses/113416268542404860THANK YOU, GREENSBORO, NORTH CAROLINA—MAGA2024!!!",10126,2020,307,truth_social
2024-11-04,GLOBAL,"Join me live in Reading, Pennsylvania at 3:30pmEDT. Will be on @RSBN, @OAN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble, among others. Will see you soon—MAGA2024!!! LIVE LINK HERE: https://rumble.com/v5lwh8h-live-president-trump-in-reading-pa.html",10703,2640,340,truth_social
2024-11-04,GLOBAL,It’s time to Save America from disaster by telling Kamala Harris we’ve had enough of the damage she’s caused! Do your part to guarantee we win by more than the Margin of Fraud by casting your vote and taking responsibility for ensuring every Republican and Trump voter in your household casts theirs too. Go to: https://swampthevoteusa.com/,13934,3981,628,truth_social
2024-11-04,GLOBAL,"We are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE! https://swampthevoteusa.com/",13998,3775,537,truth_social
2024-11-04,GLOBAL,Coming soon: THE GOLDEN AGE OF AMERICA!,22412,6536,1533,truth_social
2024-11-04,GLOBAL,https://justthenews.com/politics-policy/elections/voter-registration-fraud-investigations-point-arizona-group-ties-left,10248,3406,535,truth_social
